step,sim_time,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1782945214.5870245,0.0,0.0,0.0499999999998762,0.0,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.6059198,-0.09999998602429572,-0.09999991640458478,0.0987499995975089,0.0006038238997129633,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.6228523,-0.19748573262553853,-0.19745619768505654,0.14628111196433785,0.05118157801798463,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.6428933,-0.29254399403521664,-0.2925150339580218,0.19262407631868575,0.06508988977674784,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.660428,-0.3796221814587497,-0.28312429552770296,0.23780714247637064,0.05329948180877537,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.6783876,-0.36855733937694324,-0.28377209094887357,0.28185670963423465,0.041321556193991124,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.6976027,-0.3697119782529146,-0.2904721862117955,0.31001441517840694,0.03474457073752934,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.718523,-0.3723592281356366,-0.2911148486471893,0.3149380066087155,0.03208638750833141,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.7424371,-0.37211530086940653,-0.290954429896506,0.3158136975964549,0.030914751175019514,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.7600064,-0.3721036770315405,-0.29101538011716993,0.31597985990741645,0.030283015638846986,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.778987,-0.37213570769551535,-0.2910073255333543,0.31600567478854247,0.02992519751277948,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.800151,-0.37213275424867764,-0.2910008806281218,0.3160101443677937,0.029715126798011443,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.8191252,-0.37213251125689395,-0.2909999982530958,0.31601096597253325,0.029590728744534226,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.8392444,-0.3721331422351786,-0.29099968279888383,0.3160110486089927,0.029517331219072535,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.858956,-0.37213321404126476,-0.2910002067397479,0.31601108545930906,0.029474201680148672,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.879029,-0.37213323385045594,-0.29100115981273095,0.3160111370487376,0.02944906029632549,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.8985276,-0.3721332305796924,-0.29100228593610544,0.31601119821320817,0.02943460502005166,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.9211936,-0.37213320307831954,-0.2910034908769742,0.31601126550485387,0.02942647934726275,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
0,1782945214.9387934,-0.3721331696093888,-0.29100471454008936,0.3160113353068625,0.029422091561294557,-0.394,0.682,0.757,1.0,-0.0,-0.0,-0.0
